Plot,Subplot,Date,Surveyors,Active,Inactive,Maybe,Total,Notes
B07,10,8/16/2022,EG/LS,0,0,0,0,
K08,3,6/25/2022,EG/LS/JM,0,2,0,2,
P31,1,8/12/2022,EG/LS,0,0,0,0,
J24,25,6/23/2022,LS,1,0,2,3,
O26,24,6/16/2022,EG/LS,4,1,2,7,
F05,14,7/13/2022,EG/LS,0,0,0,0,
J18,18,7/8/2022,EG/LS,0,0,0,0,
M03,13,7/24/2022,EG/LS/WH,6,0,0,6,
G02,23,8/15/2022,EG/LS,0,0,0,0,
I17,19,6/24/2022,EG/LS/AP,0,0,0,0,
K23,25,6/23/2022,EG/LS/JM,0,0,0,0,
F16,17,7/9/2022,EG/LS,0,0,0,0,
H15,3,7/28/2022,EG/LS/AP,0,0,0,0,
L08,21,6/25/2022,EG/LS/JM,0,0,0,0,
G02,20,8/15/2022,EG/LS,0,0,0,0,
N30,21,6/11/2022,LS,8,2,1,11,
K24,23,6/23/2022,EG/JM,0,0,0,0,
K25,10,6/22/2022,EG/LS,0,0,2,2,1 wing
H22,19,7/10/2022,EG/LS,0,0,0,0,
D08,16,8/16/2022,EG/LS,0,0,0,0,
L19,25,7/7/2022,EG/LS/JM,0,3,2,5,1 wing
I30,21,7/16/2022,EG/LS,0,0,0,0,2 HERG nests
E15,24,7/30/2022,EG/LS,0,2,0,2,
G09,5,6/17/2022,LS,0,0,0,0,
H19,3,6/28/2022,EG/LS,0,0,1,1,
G20,4,6/28/2022,EG/LS,1,4,1,6,"2 pairs wings, otter scat"
I16,12,6/24/2022,EG/LS/AP,0,3,5,8,
G03,21,8/15/2022,EG/LS,0,0,0,0,
N21,1,7/4/2022,EG/LS,0,2,0,2,
I08,1,6/25/2022,EG/LS/JM,0,0,0,0,
O30,2,6/11/2022,LS,3,0,1,4,
H22,7,7/10/2022,EG/LS,0,0,0,0,
F07,1,6/17/2022,EG,0,0,0,0,
B08,7,8/16/2022,EG/LS,0,0,0,0,
I02,5,8/15/2022,EG/LS,0,0,0,0,
N36,6,8/11/2022,EG/LS,0,0,0,0,
G19,11,6/28/2022,EG/LS,0,0,0,0,
O27,1,6/19/2022,LS,0,4,2,6,
J01,24,8/15/2022,EG/LS,0,0,0,0,
P33,19,8/12/2022,EG/LS,0,0,0,0,
J04,23,7/24/2022,EG/LS/WH,0,0,0,0,
H15,14,7/28/2022,EG/LS/AP,0,0,0,0,
I01,13,8/15/2022,EG/LS,0,0,0,0,
K18,14,7/8/2022,EG/LS,0,0,0,0,
H18,14,6/28/2022,EG/LS,0,1,1,2,
